Parameters
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=100
CHECKPOINT_EVERY=5
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=150
EVALUATE_EVERY=10
FILTER_SIZES=3,4,5
L2_CONSTRAINT=3.0
L2_REG_LAMBDA=1.0
LOG_DEVICE_PLACEMENT=False
NUM_EPOCHS=50
NUM_FILTERS=150
Loading data...
Train/Dev split: 25000/25000
epoch number is: 0
2016-05-20T16:04:13.480080: train-step 1, loss 4.40738, acc 0.54
2016-05-20T16:04:21.092250: train-step 2, loss 3.6642, acc 0.5
2016-05-20T16:04:28.855914: train-step 3, loss 4.17146, acc 0.45
2016-05-20T16:04:38.204585: train-step 4, loss 3.9789, acc 0.48
2016-05-20T16:04:47.595174: train-step 5, loss 4.19736, acc 0.44
2016-05-20T16:04:56.846640: train-step 6, loss 3.81918, acc 0.5
2016-05-20T16:05:06.321996: train-step 7, loss 3.54437, acc 0.51
2016-05-20T16:05:15.642283: train-step 8, loss 3.71359, acc 0.46
2016-05-20T16:05:24.727342: train-step 9, loss 3.73022, acc 0.48
2016-05-20T16:05:34.218461: train-step 10, loss 3.36543, acc 0.57
2016-05-20T16:05:43.779055: train-step 11, loss 3.69552, acc 0.48
2016-05-20T16:05:53.135546: train-step 12, loss 3.66641, acc 0.51
2016-05-20T16:06:02.623004: train-step 13, loss 3.44331, acc 0.48
2016-05-20T16:06:11.771344: train-step 14, loss 3.22159, acc 0.6
2016-05-20T16:06:20.870646: train-step 15, loss 3.67989, acc 0.44
2016-05-20T16:06:29.707996: train-step 16, loss 3.47962, acc 0.52
2016-05-20T16:06:38.493457: train-step 17, loss 3.16003, acc 0.52
2016-05-20T16:06:46.710288: train-step 18, loss 3.46404, acc 0.44
2016-05-20T16:06:56.208958: train-step 19, loss 3.33266, acc 0.5
2016-05-20T16:07:03.875132: train-step 20, loss 3.40088, acc 0.52
2016-05-20T16:07:11.750688: train-step 21, loss 3.02841, acc 0.56
2016-05-20T16:07:19.486394: train-step 22, loss 3.45562, acc 0.49
2016-05-20T16:07:27.144366: train-step 23, loss 3.18543, acc 0.51
2016-05-20T16:07:34.821575: train-step 24, loss 3.1101, acc 0.49
2016-05-20T16:07:42.563162: train-step 25, loss 3.43421, acc 0.51
2016-05-20T16:07:51.076242: train-step 26, loss 2.99893, acc 0.48
2016-05-20T16:08:00.017076: train-step 27, loss 3.09746, acc 0.54
2016-05-20T16:08:09.287009: train-step 28, loss 3.23488, acc 0.48
2016-05-20T16:08:18.548903: train-step 29, loss 2.91608, acc 0.6
2016-05-20T16:08:27.824890: train-step 30, loss 2.93077, acc 0.49
2016-05-20T16:08:36.832619: train-step 31, loss 3.12682, acc 0.46
2016-05-20T16:08:45.970103: train-step 32, loss 2.88232, acc 0.55
2016-05-20T16:08:55.241372: train-step 33, loss 3.00336, acc 0.53
2016-05-20T16:09:04.749165: train-step 34, loss 2.74737, acc 0.66
2016-05-20T16:09:14.110997: train-step 35, loss 2.68119, acc 0.56
2016-05-20T16:09:23.245036: train-step 36, loss 2.93422, acc 0.45
2016-05-20T16:09:32.543818: train-step 37, loss 2.734, acc 0.57
2016-05-20T16:09:41.617634: train-step 38, loss 2.65965, acc 0.57
2016-05-20T16:09:50.284119: train-step 39, loss 2.67317, acc 0.59
2016-05-20T16:09:58.267024: train-step 40, loss 2.9832, acc 0.5
2016-05-20T16:10:07.354743: train-step 41, loss 2.88054, acc 0.46
2016-05-20T16:10:15.067593: train-step 42, loss 2.66431, acc 0.59
2016-05-20T16:10:22.945464: train-step 43, loss 2.84045, acc 0.5
2016-05-20T16:10:31.236770: train-step 44, loss 2.8323, acc 0.5
2016-05-20T16:10:38.983004: train-step 45, loss 2.90172, acc 0.4
2016-05-20T16:10:46.911230: train-step 46, loss 2.78972, acc 0.47
2016-05-20T16:10:55.103032: train-step 47, loss 2.75158, acc 0.49
2016-05-20T16:11:03.697518: train-step 48, loss 2.65591, acc 0.55
2016-05-20T16:11:12.543169: train-step 49, loss 2.6621, acc 0.48
2016-05-20T16:11:21.902023: train-step 50, loss 2.76192, acc 0.48
2016-05-20T16:11:31.245082: train-step 51, loss 2.58069, acc 0.54
2016-05-20T16:11:40.523601: train-step 52, loss 2.36759, acc 0.55
2016-05-20T16:11:50.024554: train-step 53, loss 2.64378, acc 0.49
2016-05-20T16:11:59.390128: train-step 54, loss 2.37437, acc 0.56
2016-05-20T16:12:08.742583: train-step 55, loss 2.54806, acc 0.51
2016-05-20T16:12:18.157236: train-step 56, loss 2.20018, acc 0.64
2016-05-20T16:12:27.580143: train-step 57, loss 2.54157, acc 0.55
2016-05-20T16:12:37.024399: train-step 58, loss 2.63017, acc 0.49
2016-05-20T16:12:46.436439: train-step 59, loss 2.58985, acc 0.48
2016-05-20T16:12:55.607843: train-step 60, loss 2.24984, acc 0.53
2016-05-20T16:13:04.068667: train-step 61, loss 2.2802, acc 0.51
2016-05-20T16:13:13.264818: train-step 62, loss 2.11865, acc 0.58
2016-05-20T16:13:21.431536: train-step 63, loss 2.09634, acc 0.59
2016-05-20T16:13:29.168387: train-step 64, loss 2.3566, acc 0.54
2016-05-20T16:13:36.766675: train-step 65, loss 2.05311, acc 0.62
2016-05-20T16:13:44.545499: train-step 66, loss 2.29646, acc 0.51
2016-05-20T16:13:52.604034: train-step 67, loss 2.2082, acc 0.56
2016-05-20T16:14:00.535495: train-step 68, loss 1.99171, acc 0.58
2016-05-20T16:14:08.490703: train-step 69, loss 2.20584, acc 0.56
